Cultivo,Region,Año,temp_media,temp_max,temp_min,precipitacion_total,humedad_media,fuente_produccion
Camu_camu,Loreto,2026,25.778121546961327,28.34635359116022,23.60314917127072,1458.66,90.6686187845304,solo_clima_NASA_POWER
Canihua,Puno,2015,7.820246575342465,14.871013698630136,2.139780821917808,439.04,57.617041095890414,solo_clima_NASA_POWER
Canihua,Puno,2016,8.20827868852459,15.553360655737704,2.1475683060109287,404.54,54.909699453551916,solo_clima_NASA_POWER
Canihua,Puno,2017,8.159780821917808,15.1586301369863,2.526821917808219,496.15,59.27515068493151,solo_clima_NASA_POWER
Canihua,Puno,2018,7.814876712328767,14.668219178082191,2.2264657534246575,655.37,61.055369863013695,solo_clima_NASA_POWER
Canihua,Puno,2019,8.056027397260273,14.93791780821918,2.472191780821918,448.46000000000004,61.22704109589041,solo_clima_NASA_POWER
Canihua,Puno,2020,8.18155737704918,15.264918032786886,2.5019398907103825,510.41,59.73439890710383,solo_clima_NASA_POWER
Canihua,Puno,2021,8.08572602739726,15.128602739726027,2.327917808219178,527.92,59.74087671232876,solo_clima_NASA_POWER
Canihua,Puno,2022,7.989397260273973,15.657589041095891,1.6074520547945206,360.41,54.33054794520548,solo_clima_NASA_POWER
Canihua,Puno,2023,8.875397260273973,16.009315068493148,3.084,671.16,57.41665753424658,solo_clima_NASA_POWER
Canihua,Puno,2024,9.221666666666668,16.31978142076503,3.531857923497268,412.57,59.279754098360655,solo_clima_NASA_POWER
Canihua,Puno,2025,8.176136986301369,15.002739726027396,2.620054794520548,642.7,61.462657534246574,solo_clima_NASA_POWER
Canihua,Puno,2026,8.359779005524862,14.710386740331492,3.295414364640884,265.40000000000003,62.07558011049724,solo_clima_NASA_POWER
Chirimoya,Cajamarca,2015,14.894876712328767,21.96890410958904,10.042602739726028,410.95,69.73479452054795,solo_clima_NASA_POWER
Chirimoya,Cajamarca,2016,15.023688524590165,22.273169398907104,10.100437158469946,373.45,67.93497267759562,solo_clima_NASA_POWER
Chirimoya,Cajamarca,2017,14.302027397260273,21.166657534246575,9.645095890410959,662.23,71.50301369863013,solo_clima_NASA_POWER
Chirimoya,Cajamarca,2018,13.98150684931507,20.595397260273973,9.399452054794521,653.66,72.68276712328768,solo_clima_NASA_POWER
Chirimoya,Cajamarca,2019,14.619698630136986,21.46550684931507,9.920383561643837,493.62,70.9630410958904,solo_clima_NASA_POWER
Chirimoya,Cajamarca,2020,14.89603825136612,21.891994535519128,10.044098360655738,399.08,68.98207650273224,solo_clima_NASA_POWER
Chirimoya,Cajamarca,2021,14.498493150684931,21.332931506849317,9.862575342465753,372.71,69.74613698630137,solo_clima_NASA_POWER
Chirimoya,Cajamarca,2022,14.291534246575342,21.143342465753424,9.543424657534246,507.29,69.6891506849315,solo_clima_NASA_POWER
